factor,autocorr_1
a158_kl_mid,-0.044
a158_kl_mid_5,0.7074
a158_low_vwap,0.4141
a158_pct_10,-0.0043
a158_pct_5,-0.0413
a158_ret_10,0.9009
a158_trend_ma10,0.8448
a158_trend_ma20,0.9172
a158_vwap_dev_10,0.8533
a360_cp_ratio_10,0.8726
a360_high_ratio_10,0.8865
a360_ma5_ma20_cross,0.9769
a360_range_pos_30,0.9635
a360_range_pos_60,0.9806
a360_vwap_10,0.8773
a360_vwap_30,0.9545
bottom_divergence,0.7754
bottom_fractal,-0.2653
close_position,-0.0392
low_volatility,0.982
momentum_12_1,0.9868
reversal_20,0.9444
ta_atr_14,0.9963
ta_beta_60,0.9778
ta_cci_14,0.8507
ta_ema_10,0.9991
ta_ema_5,0.9981
ta_macd_hist,0.965
ta_roc_10,0.9009
ta_rsi_24,0.9439
ta_rsi_6,0.8289
ta_sma_5,0.9981
ta_stoch_d,0.9076
ta_ultosc,0.8589
ta_willr_14,0.8321
trend_macd_5dim,0.9768
turnover_stability,0.9473
volume_reversal,0.815
weekly_deviation,0.6851
